scenario,survived,months_run,final_arr_usd,final_team_size,final_cash_usd,final_trl,final_layer3_substitutability,valuation_vc_method,valuation_comparable_multiples,valuation_damodaran_classical,valuation_damodaran_inverted
adas_regulated_2026,True,96,240212787.6476117,126.0,172864652.42720094,9.0,0.995093589787967,494817922.3038905,1756762640.934579,4997944501.778098,4997944501.778098
adas_regulated_2026,True,96,260726177.31844676,138.0,208363672.8773849,9.0,0.9989513971949618,537073761.2029551,3464510673.367612,5424752683.483162,5424752683.483162
adas_regulated_2026,True,96,222951087.03906357,126.0,175996709.58875787,9.0,0.9934699154527177,459260286.45028365,1305092340.3340836,4638792008.304712,4638792008.304712
adas_regulated_2026,True,96,213928516.41062486,108.0,171625851.42199206,9.0,0.9962957527479396,440674557.9554562,1991782129.2136867,4451065502.543236,4451065502.543236
adas_regulated_2026,True,96,250588960.0422627,102.0,215083930.75191,9.0,0.9945661125527304,516191955.3687752,3406475158.589797,5213834481.146828,5213834481.146828
adas_regulated_2026,True,96,340845926.52438575,162.0,258276512.18305576,9.0,0.9984253494721318,702113633.6669874,3527533316.4972153,7091749948.487609,7091749948.487609
adas_regulated_2026,True,96,411270073.28853744,168.0,339236050.0358504,9.0,0.9914528101892458,847181389.3144593,2913877541.8445034,8557017391.404301,8557017391.404301
adas_regulated_2026,True,96,264568735.91393116,114.0,194045587.88185152,9.0,0.9979676841415644,544989105.2575681,2468293333.4848313,5504702193.220482,5504702193.220482
adas_regulated_2026,False,64,18583017.695643812,116.69244412906804,-71177.24684991036,9.0,0.9822644958769278,38279436.72917251,222533578.88915163,386644241.66558945,386644241.66558945
adas_regulated_2026,False,62,14854054.165462986,136.14118481724597,-387783.8784665202,9.0,0.9751964675689123,30598088.852481302,183183198.4369175,309058227.3842069,309058227.3842069
adas_regulated_2026,False,59,9366565.726289703,117.98902684161322,-674559.8741593544,9.0,0.9710443469553078,19294329.153719317,49442644.89869716,194883778.38122243,194883778.38122243
adas_regulated_2026,True,96,215567199.69186446,132.0,169030086.58416778,9.0,0.9990575475255198,444050106.21197367,2784889555.290923,4485160473.821958,4485160473.821958
adas_regulated_2026,False,65,15542076.849412289,100.06377084067584,-97737.89633715642,9.0,0.9974256379046271,32015357.093292728,199099651.4904096,323373448.58461833,323373448.58461833
adas_regulated_2026,True,96,285075444.3910111,138.0,224487012.2862248,9.0,0.9937920382744233,587231181.4654589,4468129710.49059,5931371363.859897,5931371363.859897
adas_regulated_2026,False,60,10350765.24090631,113.45098734770504,-801475.894533737,9.0,0.9766063698111958,21321696.488007564,104604641.38775496,215361349.95808116,215361349.95808116
adas_regulated_2026,True,96,274477183.3364864,96.0,223233299.21837705,9.0,0.9973248425215385,565399664.6407704,4201094605.7105927,5710860536.419784,5710860536.419784
adas_regulated_2026,True,96,254876856.00321695,108.0,207055815.3270566,9.0,0.9910823885813237,525024656.5385697,2429409815.487582,5303049823.3112335,5303049823.3112335
adas_regulated_2026,True,96,273811997.26523626,144.0,200203459.17884007,9.0,0.9987979935703281,564029437.8808016,5596400750.307837,5697020461.12645,5697020461.12645
adas_regulated_2026,False,62,14747567.871479534,113.45098734770504,-194099.02133261366,9.0,0.9764196777881174,30378736.139169343,89303463.94601318,306842639.3102278,306842639.3102278
