scenario,survived,months_run,final_arr_usd,final_team_size,final_cash_usd,final_trl,final_layer4_substitutability,valuation_vc_method,valuation_comparable_multiples,valuation_damodaran_classical,valuation_damodaran_inverted
post_genai_2026_saas_b2b_logistics,True,96,25551367.004450783,48.0,39696746.3872405,8.0,0.995093589787967,81443638.50665154,120256625.99510102,474742872.58031857,511192604.41812915
post_genai_2026_saas_b2b_logistics,True,96,27102437.78394172,54.0,41748748.710796,8.0,0.9989513971949618,86387595.04099607,353598369.42486143,503561675.00692284,533816420.1342038
post_genai_2026_saas_b2b_logistics,True,96,24352188.15325369,48.0,39849320.22165714,8.0,0.9934699154527177,77621318.98673289,149178590.19418588,452462201.1604409,472111886.34050053
post_genai_2026_saas_b2b_logistics,True,96,21120443.91225079,42.0,47256747.984208524,8.0,0.9962957527479396,67320304.18528037,276952857.572125,392416586.21735907,434056275.13495463
post_genai_2026_saas_b2b_logistics,True,96,24291537.623996377,42.0,48059475.21912927,8.0,0.9945661125527304,77427998.61451134,270998440.38499236,451335317.94992155,485515143.8014238
post_genai_2026_saas_b2b_logistics,True,96,31329713.976389408,66.0,36664274.43884126,8.0,0.9984253494721318,99861815.57978421,415308750.1071885,582104214.1377425,630854056.1023115
post_genai_2026_saas_b2b_logistics,True,96,38576794.69568921,66.0,43386327.34088479,8.0,0.9914528101892458,122961504.22768965,360205901.10391366,716754540.983368,780909744.2444391
post_genai_2026_saas_b2b_logistics,True,96,28678625.692963284,48.0,43279882.704612836,8.0,0.9979676841415644,91411611.10473727,223902299.94328493,532847152.1997838,581202245.9950901
post_genai_2026_saas_b2b_logistics,True,96,34204185.72109843,66.0,39970395.47708934,8.0,0.9963358669806276,109024043.08929032,132617735.48215643,635511727.4420762,687922066.0356088
post_genai_2026_saas_b2b_logistics,True,96,34066077.45537703,72.0,39211567.050949074,8.0,0.9954487511373524,108583830.25581509,289083655.701483,632945684.1151481,680365600.3428209
post_genai_2026_saas_b2b_logistics,True,96,28559312.552792013,60.0,30568317.292620104,8.0,0.9954373565688108,91031306.74546327,165587552.86076573,530630321.1828123,561130923.7794342
post_genai_2026_saas_b2b_logistics,True,96,21833048.05167589,54.0,44501681.71890089,8.0,0.9990575475255198,69591692.40179229,211189932.65597302,405656728.5590337,446370266.9301021
post_genai_2026_saas_b2b_logistics,True,96,27487011.512008067,48.0,37730819.46051304,8.0,0.9997636682440166,87613403.57336679,190699070.37729073,510707031.90110934,546498207.9041052
post_genai_2026_saas_b2b_logistics,True,96,29098699.514218215,54.0,44652497.636219025,8.0,0.9937920382744233,92750574.31709437,145366130.8161519,540652098.7047446,594453352.4311863
post_genai_2026_saas_b2b_logistics,True,96,24470632.33650595,60.0,33601477.40734878,8.0,0.9950053217024992,77998853.59152848,195306690.57693845,454662887.009766,497902741.617736
post_genai_2026_saas_b2b_logistics,True,96,30204715.390740916,42.0,47923720.25431459,8.0,0.9973248425215385,96275941.75494775,176203909.02440736,561201807.62045,615393575.5133281
post_genai_2026_saas_b2b_logistics,True,96,24574305.80225816,42.0,48461764.567513674,8.0,0.9910823885813237,78329307.31112729,274764502.64491636,456589133.81029874,501516282.3714367
post_genai_2026_saas_b2b_logistics,True,96,28297476.44824035,60.0,33417646.799601495,8.0,0.9987979935703281,90196717.93292026,272769515.23952454,525765422.00154966,559036713.4469978
post_genai_2026_saas_b2b_logistics,True,96,29889390.465536352,60.0,30959038.875559457,8.0,0.9934150674192073,95270860.13970485,275194398.00830376,555343089.3467189,591075301.2365185
post_genai_2026_saas_b2b_logistics,True,96,25733413.552559823,48.0,45015548.94045674,8.0,0.9821037376226223,82023902.30439645,192792111.15717676,478125286.56926745,514130566.2419073
post_genai_2026_saas_b2b_logistics,True,96,23797236.03105576,48.0,32768456.217435125,8.0,0.995441360511635,75852438.28375858,225806457.41015792,442151223.88118625,462818192.44545597
