scenario,survived,months_run,final_arr_usd,final_team_size,final_cash_usd,final_trl,final_layer3_substitutability,valuation_vc_method,valuation_comparable_multiples,valuation_damodaran_classical,valuation_damodaran_inverted
pre_genai_2019_baseline,False,65,844955.7768135925,114.0,-1089103.5940372383,8.0,0.07612379468908699,2872802.239929257,11095478.375174884,19521596.00166598,19654975.1207809
pre_genai_2019_baseline,False,73,1677595.9780472454,120.0,-564654.5569782334,8.0,0.010000000000000002,5703732.2137791095,12732652.382887319,32749350.937458042,32964371.92846155
pre_genai_2019_baseline,False,77,2633983.4779679617,108.0,-152790.45263897313,8.0,0.039245376417173974,8955396.061056066,12762371.226171548,51419561.33195363,51757164.51241595
pre_genai_2019_baseline,False,74,1600733.4510772282,96.0,-194776.07110546425,8.0,0.031107860697581792,5442403.933997667,13248451.116886424,31248871.738282204,31543945.845779456
pre_genai_2019_baseline,False,84,3877504.1285464494,96.0,-324800.15720373,8.0,0.08132467625646671,13183296.512665473,25769211.909806404,75695069.09227571,76205191.91695172
pre_genai_2019_baseline,False,59,680410.4653416907,126.08035125925154,-8038.879793906119,8.0,0.010000000000000002,2313357.411764455,5314839.620167952,19521596.00166598,19667083.08231685
pre_genai_2019_baseline,False,59,905972.847330103,119.1235367150903,-1216090.454239563,8.0,0.10111086184972448,3080256.8566842163,13385106.251376897,19521596.00166598,19677089.914697304
pre_genai_2019_baseline,False,64,837151.9183652272,102.0,-101950.28727811505,8.0,0.01754041065576319,2846269.55899405,4792189.893925612,19521596.00166598,19679245.118310533
pre_genai_2019_baseline,False,59,1011636.5006582809,131.33369922838705,-367150.7932890316,8.0,0.046754618444620415,3439507.3503668755,5718474.152945657,19748759.066390067,19893692.922588278
pre_genai_2019_baseline,False,61,768253.1983709248,148.93241492499092,-1310959.6655773951,8.0,0.010000000000000002,2612017.7761678384,5574027.30983985,19521596.00166598,19651746.639300242
pre_genai_2019_baseline,False,61,732199.7699480011,138.0,-1282619.5086771178,8.0,0.010000000000000002,2489438.14209386,5710588.5419542575,19521596.00166598,19649768.096626412
pre_genai_2019_baseline,False,69,1418192.6621537176,120.0,-636897.8563379071,8.0,0.010000000000000002,4821775.492027023,8967360.786316095,27685384.20309205,27932651.885747112
pre_genai_2019_baseline,False,62,778339.035468435,114.0,-483231.6237303278,8.0,0.07057532309729057,2646309.056493248,5756195.062051351,19521596.00166598,19649768.096626412
pre_genai_2019_baseline,False,61,934888.0668841666,126.0,-351199.4167435772,8.0,0.03358725412609971,3178566.9810509803,10034195.749746678,19521596.00166598,19694468.72097134
pre_genai_2019_baseline,False,59,723649.8582529722,120.82700329011608,-932412.042608597,8.0,0.10528999903537281,2460368.921972894,5121815.65370702,19521596.00166598,19686809.938618816
pre_genai_2019_baseline,False,66,963223.5907814731,90.0,-884983.296305825,8.0,0.06275306893402884,3274906.1727051605,6349773.170340613,19521596.00166598,19689347.42686731
pre_genai_2019_baseline,False,73,2184185.659181575,96.0,-652547.3153582329,8.0,0.0385318471301011,7426108.710423635,15846315.475513961,42638790.03117522,43012147.45898993
pre_genai_2019_baseline,False,62,1071927.7756399503,132.0,-817621.0800150045,8.0,0.07051081420205062,3644494.3030198324,13556782.799967177,20925740.979007564,21063132.207657613
pre_genai_2019_baseline,False,61,790331.2047158314,132.0,-1376150.6039065537,8.0,0.14671157560786852,2687081.7591848015,6694479.217211897,19521596.00166598,19649768.096626412
pre_genai_2019_baseline,False,70,1841563.5272422081,114.0,-639.675324648153,8.0,0.010000000000000002,6261212.682614247,18641711.029172547,35950259.19022541,36191173.802114494
pre_genai_2019_baseline,False,69,1148242.5680154227,102.0,-380827.33607591037,8.0,0.05106170392158068,3903960.315907226,8836019.415406326,22415527.524712555,22562700.180177838
pre_genai_2019_baseline,False,60,856828.3253505935,104.80429198425283,-54524.24980685185,8.0,0.07606740414177748,2913168.2389160767,6176918.600361913,19521596.00166598,19672786.930660676
pre_genai_2019_baseline,False,60,677129.1775819303,139.00358726332485,-941132.891728915,8.0,0.010000000000000002,2302201.217458476,10441227.923065314,19521596.00166598,19649768.096626412
pre_genai_2019_baseline,False,79,3155323.794486156,84.0,-304377.9911691055,8.0,0.010000000000000002,10727923.890508741,12076935.404990982,61596956.3704025,62001380.831420295
pre_genai_2019_baseline,False,70,1277095.345479731,90.0,-769357.31613174,8.0,0.010000000000000002,4342052.530764329,13015914.79576115,24930939.390063353,25094627.375957705
pre_genai_2019_baseline,False,73,1662194.6185911554,78.0,-877864.471485892,8.0,0.0438108831466177,5651368.455630412,13643262.468171878,32448691.820279807,32670894.800786503
pre_genai_2019_baseline,False,79,2839931.941644164,78.0,-580271.990046167,8.0,0.010000000000000002,9655609.284036973,18679925.033440765,55440004.037004225,55804004.06350981
pre_genai_2019_baseline,False,69,1708109.6231274335,132.0,-431183.09130916104,8.0,0.0762382138410876,5807476.8952645045,15031172.171883153,33345025.989251696,33574891.157400884
pre_genai_2019_baseline,False,59,773821.3343845924,105.06695938270964,-1462440.18562197,8.0,0.010000000000000002,2630949.126247032,5269462.779280212,19521596.00166598,19649768.096626412
pre_genai_2019_baseline,False,75,2102515.5651004,96.0,-338344.3008855054,8.0,0.0335857769620664,7148434.972164322,23731628.31428672,41044459.44910446,41313943.273770295
pre_genai_2019_baseline,False,59,701491.2746959307,125.07971355084482,-861973.9222798332,8.0,0.08339371817334729,2385030.9809549795,3561628.0074235015,19521596.00166598,19721689.3715398
pre_genai_2019_baseline,False,69,1189830.643628916,102.0,-866063.2767789513,8.0,0.08728274227839895,4045357.439940557,16491153.794301538,23227393.13532591,23388797.030174322
pre_genai_2019_baseline,False,76,2761238.969764691,108.0,-587279.4072740864,8.0,0.010000000000000002,9388057.594249647,21036796.54424711,53903791.63180269,54391277.84444407
pre_genai_2019_baseline,True,96,8893909.995123046,66.0,1837066.125874417,8.0,0.10278411285366723,30238795.04330015,80860103.4613724,173623317.79997116,174878561.13750112
pre_genai_2019_baseline,False,64,1163443.0695826453,108.0,-725088.3122038504,8.0,0.13270110602145582,3955641.1685017156,8552854.68020904,22712265.57533057,22861386.510926172
pre_genai_2019_baseline,False,64,915623.2232202061,108.0,-593123.4587656165,8.0,0.10549248983968879,3113067.593333412,3635363.9181464743,19521596.00166598,19687922.43225883
pre_genai_2019_baseline,False,63,842579.634470667,120.0,-1036500.4158261269,8.0,0.03668531040923902,2864723.4892626964,10257064.814848546,19521596.00166598,19700374.775273077
pre_genai_2019_baseline,True,96,9931692.358960832,66.0,9038970.64926353,8.0,0.010000000000000002,33767196.86171862,72906339.33979422,193882485.8444664,196342404.8141756
pre_genai_2019_baseline,False,68,1228293.5254823817,102.0,-382017.75920219824,8.0,0.010000000000000002,4176129.080510271,13324447.995077409,23978249.97592908,24202334.897609103
pre_genai_2019_baseline,False,64,915897.1725837357,126.0,-1243063.0862533066,8.0,0.014809488969151194,3113999.005801107,8671780.189993283,19521596.00166598,19709928.200888626
pre_genai_2019_baseline,False,62,819278.1369766026,132.0,-93296.86210982781,8.0,0.08780935897209056,2785499.704975318,6818947.873203061,19521596.00166598,19701279.332504574
pre_genai_2019_baseline,False,61,1099234.783276611,168.0,-552557.9349754475,8.0,0.010000000000000002,3737336.597086627,7290993.108566141,21458817.350104865,21599708.575130805
pre_genai_2019_baseline,False,62,745837.488762118,138.0,-402908.2694287688,8.0,0.10539376449755412,2535805.6209984557,7531451.800390112,19521596.00166598,19668044.14244822
pre_genai_2019_baseline,False,85,4605939.172308401,96.0,-363804.6107808546,8.0,0.07334565040032723,15659934.796924422,38777958.52353262,89915283.73005241,90505636.6030275
pre_genai_2019_baseline,False,66,1279785.9116291318,114.0,-293159.9671962346,8.0,0.03731098707754078,4351200.304734021,14824868.022568887,24983463.535447717,25209849.718396805
pre_genai_2019_baseline,False,60,728139.386779629,115.07333646677722,-1335383.1209615548,8.0,0.06862422991691995,2475633.0671051326,12042414.403073609,19521596.00166598,19649768.096626412
pre_genai_2019_baseline,False,88,5580554.112491422,78.0,-116499.45590216399,8.0,0.013425626997519619,18973570.918550685,65937024.06299713,108941322.8494932,109656594.1611313
pre_genai_2019_baseline,False,67,1175286.5084643387,108.0,-803154.8024841406,8.0,0.010000000000000002,3995908.196293514,10516787.67357886,22943468.404449407,23094107.338418014
pre_genai_2019_baseline,False,68,1267833.409856009,120.0,-173770.74750966078,8.0,0.033948371066513494,4310562.46922969,8313704.1401820285,24750131.62462361,24912632.488825686
pre_genai_2019_baseline,False,70,1325657.7363052892,108.0,-712988.2389480737,8.0,0.12314166724930123,4507161.935266053,6876010.32582782,25878954.764634907,26048867.093897663
pre_genai_2019_baseline,False,75,2277492.6586382207,90.0,-418645.8729355325,8.0,0.06427439806678815,7743347.2741399305,27056108.18166061,44460291.57869551,44752202.584010184
pre_genai_2019_baseline,False,76,2110596.578158576,96.0,-422793.68504909996,8.0,0.0990466790503844,7175909.963224768,22850787.4307537,41202213.72131037,41486360.202055864
pre_genai_2019_baseline,False,74,1917107.8233808742,96.0,-277166.81437189935,8.0,0.036088035925630216,6518059.051520625,11816258.981396686,37425004.41967466,37670724.14566242
pre_genai_2019_baseline,False,61,788029.7128652914,126.0,-837611.0612395465,8.0,0.035888932124393,2679256.8160045277,6084078.941419019,19521596.00166598,19670029.674856197
pre_genai_2019_baseline,False,70,1649950.5953446983,108.0,-631637.6853357768,8.0,0.0495809745276546,5609739.463470829,17788667.251687083,32209668.945027474,32421146.56941402
pre_genai_2019_baseline,False,74,2251613.7021592055,78.0,-275520.5739249756,8.0,0.0659801723757545,7655360.273896783,14950698.768324295,43955093.04536749,44243687.09061485
pre_genai_2019_baseline,False,61,791809.2039934971,120.0,-167146.05586797418,8.0,0.11335758013762397,2692106.873814473,10605424.956863482,19521596.00166598,19671751.136788275
pre_genai_2019_baseline,False,70,1236959.6109081912,108.0,-913859.7662721954,8.0,0.06389851753370837,4205593.284798652,14181804.385554522,24147425.794527654,24305969.4992392
pre_genai_2019_baseline,False,58,562269.7980587354,133.41836112090112,-336304.7905331126,8.0,0.09286775261818152,1911685.7705844864,3412527.2137520686,19521596.00166598,19680372.162634138
pre_genai_2019_baseline,False,70,1454806.7250170663,96.0,-376478.0324082561,8.0,0.010000000000000002,4946261.2517473735,10805391.99002082,28400149.146289945,28586933.45128917
pre_genai_2019_baseline,False,85,3254065.6924085435,84.0,-351905.49819185253,8.0,0.08609494164873889,11063640.804115785,27280838.939148482,63524555.810081065,64040692.09350114
pre_genai_2019_baseline,False,74,1558912.8612173204,96.0,-448521.92068797536,8.0,0.021084319882459533,5300216.274570361,19186315.85483711,30432467.07848572,30634524.95412792
pre_genai_2019_baseline,False,63,1044072.418494966,120.0,-260184.67170678335,8.0,0.018895310248982833,3549787.651386638,3237906.32839838,20381959.95034107,20527140.28441274
pre_genai_2019_baseline,False,61,738627.9684503011,132.0,-530870.7604367593,8.0,0.010000000000000002,2511293.656385694,5376709.914607167,19521596.00166598,19772173.298544466
pre_genai_2019_baseline,False,58,544668.3145448362,165.1052218871151,-309851.3870027233,8.0,0.10959464374074622,1851841.7140641615,2701766.189625605,19521596.00166598,19649768.096626412
pre_genai_2019_baseline,False,82,3149318.9640191165,84.0,-196505.30687218742,8.0,0.06982220801097025,10707507.803786239,17899594.982986186,61479732.49596644,61883387.30528339
pre_genai_2019_baseline,False,62,737905.9730279408,114.0,-341916.13137857546,8.0,0.04856464083279264,2508838.9124529446,10584239.549926661,19521596.00166598,19649768.096626412
pre_genai_2019_baseline,False,72,1813293.249085847,102.0,-199820.69320248393,8.0,0.014833823317360894,6165095.322819056,7889931.9004281955,35398378.2412022,35675662.43285544
pre_genai_2019_baseline,False,65,1045181.2627735554,120.0,-499608.554002904,8.0,0.11676886692404577,3553557.659728704,9330362.795962576,20403606.360376444,20537569.43243952
pre_genai_2019_baseline,True,96,13387790.460995032,90.0,11276343.78384555,8.0,0.06969434284012338,45517736.52473047,48599868.47306769,261351036.73450267,263266915.43238103
pre_genai_2019_baseline,False,65,929018.6322046893,102.0,-820089.9602639074,8.0,0.0863497422706568,3158611.23241061,8040408.289008475,19521596.00166598,19649768.096626412
pre_genai_2019_baseline,False,66,1165558.8592845448,102.0,-498725.7886722946,8.0,0.010000000000000002,3962834.73479433,6785007.706923708,22753569.167115536,22949054.140184235
pre_genai_2019_baseline,False,64,1167421.850075875,96.0,-52260.233838859946,8.0,0.0513927683843561,3969168.798972793,4303029.347343822,22789937.720698703,22939568.624925513
pre_genai_2019_baseline,False,68,1193223.5420804883,96.0,-75562.24033455271,8.0,0.010000000000000002,4056893.10433744,4358660.035065389,23293627.928172182,23446565.88931675
pre_genai_2019_baseline,False,60,745339.9716747842,121.35233808702955,-509092.3819034628,8.0,0.04194523089269393,2534114.0908117685,4914155.130293351,19521596.00166598,19664484.27949082
pre_genai_2019_baseline,False,71,1378545.7602705865,90.0,-310235.1734454769,8.0,0.0323621303409364,4686978.249778874,12784812.652110796,26911413.401811868,27088104.49990457
